Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-41555100098,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,33467,12,179.88,9.0
INV-42443700131,2021-12-03,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PARK STREET IMPORTS,65426,36,761.4,27.0
INV-41555100218,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,28238,3,119.25,5.25
INV-41858700180,2021-11-13,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,DIAGEO AMERICAS,6076,4,120.0,3.0
INV-42419600045,2021-12-02,HY-VEE #4 / WDM,50265,SAZERAC COMPANY  INC,43237,6,58.5,4.5
INV-41802700083,2021-11-12,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DIAGEO AMERICAS,38008,12,265.56,21.0
INV-42417900018,2021-12-02,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,36924,6,135.0,4.5
INV-42359400030,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,5289,3,67.41,3.0
INV-41557900088,2021-11-05,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PERNOD RICARD USA,42716,24,287.76,18.0
INV-41514200024,2021-11-04,HY-VEE FOOD STORE / CORALVILLE,52241,FIFTH GENERATION INC,38177,48,912.48,48.0
INV-42452800118,2021-12-03,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,84197,10,77.4,0.5
INV-41880900050,2021-11-14,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,30318,6,99.0,10.5
INV-41521200107,2021-11-04,HY-VEE #4 / WDM,50265,CAMPARI AMERICA,22158,6,225.0,10.5
INV-41558100001,2021-11-05,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,87937,12,141.0,12.0
INV-41555100230,2021-11-05,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,59154,3,45.18,5.25
