Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-47954800164,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,STOLI GROUP,37044,2,29.98,1.5
INV-47954800087,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,MISSISSIPPI RIVER DISTIL,28131,6,144.0,4.5
INV-48292400067,2022-06-13,HY-VEE #4 / WDM,50265,LAIRD & COMPANY,23828,6,68.58,10.5
INV-48810000022,2022-06-29,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,16098,6,157.5,10.5
INV-48021000190,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,PARK STREET IMPORTS,17334,1,52.26,0.75
INV-47976200023,2022-06-02,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,36302,3,5.19,0.6
INV-48020100005,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,88147,480,5054.4,480.0
INV-48295600025,2022-06-13,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,19061,1,10.5,0.05
INV-48355400084,2022-06-15,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,58875,,99.36,10.5
INV-48194900014,2022-06-09,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,69940,1,20.25,0.05
INV-47954800048,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,CONSTELLATION BRANDS INC,34821,12,241.2,21.0
INV-48778100013,2022-06-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,EDRINGTON GROUP USA LLC,5555,12,675.24,9.0
INV-48020900006,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,87380,84,1480.92,63.0
INV-48810000068,2022-06-29,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,36308,6,64.56,10.5
INV-48281600025,2022-06-13,HY-VEE #7 / CEDAR RAPIDS,52411,jim beam brands,20247,,22.5,3.0
INV-48739300114,2022-06-28,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,DV SPIRITS LLC,87769,2,27.0,0.1
INV-48316800153,2022-06-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PROXIMO,58838,12,157.32,21.0
INV-47954800019,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,37994,24,171.12,9.0
INV-47976200069,2022-06-02,HY-VEE #7 / CEDAR RAPIDS,52411,ole smoky distillery llc,86839,6,99.0,4.5
INV-48281600012,2022-06-13,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,11788,30,470.4,52.5
INV-48295200058,2022-06-13,HY-VEE FOOD STORE / CORALVILLE,52241,E & J GALLO WINERY,40599,12,135.0,9.0
INV-47973300012,2022-06-02,HY-VEE FOOD STORE / CORALVILLE,52241,FIFTH GENERATION INC,38177,60,1185.6,60.0
INV-48021000118,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,BACARDI USA INC,89121,2,42.0,1.5
INV-48746000034,2022-06-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,HEAVEN HILL BRANDS,40331,12,153.0,9.0
INV-48780800116,2022-06-29,HY-VEE #4 / WDM,50265,JIM BEAM BRANDS,85526,4,31.52,3.0
INV-48817600074,2022-06-30,HY-VEE #3 / BDI / DES MOINES,50320,pernod ricard usa,34029,48,1079.52,48.0
INV-48309800045,2022-06-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,WILLIAM GRANT & SONS INC,5002,1,191.25,0.75
INV-48020900093,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,FIFTH GENERATION INC,38174,12,97.56,4.5
INV-48778100040,2022-06-29,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,30238,6,94.44,10.5
INV-47985300027,2022-06-02,HY-VEE #3 / BDI / DES MOINES,50320,dehner distillery,37259,6,58.5,10.5
INV-48746000219,2022-06-28,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,BACARDI USA INC,34605,3,67.5,2.25
INV-48309900072,2022-06-14,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PHILLIPS BEVERAGE,37665,12,219.96,21.0
INV-48816900177,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,"worldwide libations, llc",51326,6,131.4,4.5
INV-48021000048,2022-06-03,HY-VEE FOOD STORE #1 / MASON CITY,50401,CAMPARI AMERICA,64996,2,48.0,1.5
INV-48216600129,2022-06-09,HY-VEE FOOD STORE #1 / MASON CITY,50401,DIAGEO AMERICAS,43334,3,22.5,1.12
INV-48816900212,2022-06-30,HY-VEE FOOD STORE / CEDAR FALLS,50613,"mast-jagermeister us, inc",65257,3,78.39,3.0
INV-47978400003,2022-06-02,HY-VEE #3 / BDI / DES MOINES,50320,campari america,37987,24,348.24,24.0
INV-48281600002,2022-06-13,HY-VEE #7 / CEDAR RAPIDS,52411,moet hennessy usa,5104,2,109.48,1.5
INV-48796600059,2022-06-29,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,HEAVEN HILL BRANDS,36122,10,127.5,7.5
INV-47954800007,2022-06-01,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,43331,12,86.4,0.6
INV-48275200134,2022-06-13,HY-VEE #3 / BDI / DES MOINES,50320,luxco inc,45277,,159.12,24.0
INV-48316800158,2022-06-14,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,PERNOD RICARD USA,21184,6,359.82,4.5
